name;symbol;isincode;marketIdentificationCode
1&1 Drillisch;DU300666;DE0005545503;XETR
1000mercis;FR310610;FR0010285965;XPAR
11 88 0 Solutions AG;TGT;DE0005118806;XETR
2CRSI SA;2CRSI;FR0013341781;XPAR
2G Energy AG;2GB;DE000A0HL8N9;XETR
3i Group PLC;III;GB00B1YW4409;XLON
3U Holding AG;DU300650;DE0005167902;XETR
4imprint PLC;FOUR;GB0006640972;XLON
A Toute Vitesse -ATV-;MLATV;FR0010050773;XPAR
A2A SpA;A2A;IT0001233417;MTAA
AA PLC;AA;GB00BMSKPJ95;XLON
Aalberts NV;AAI;NL0000852564;XAMS
AAP Implantate AG;DU300983;DE0005066609;XETR
Aareal Bank AG;DU300453;DE0005408116;XETR
AB Inbev;ABI;BE0974293251;XBRU
AB Science SA;AB;FR0010557264;XPAR
Abbey PLC;ABBY;IE0000020408;XDUB
ABC Arbitrage;ABCA;FR0004040608;XPAR
Abengoa SA -A-;DU302097;ES0105200416;XETR
ABEO SA;ABEO;FR0013185857;XPAR
Abionix Pharma SA;CEREN;FR0012616852;XPAR
Abivax SA;ABVX;FR0012333284;XPAR
Ablynx NV -Acquired-;BE320250;BE0003877942;XBRU
ABN AMRO Bank Cert.;ABN;NL0011540547;XAMS
ABO Group Environment;ABO;BE0974278104;XBRU
Acacia Pharma Group PLC;ACPH;GB00BYWF9Y76;XBRU
AcadeMedia AB;ACAD;SE0007897079;XSTO
Accell Group;ACCEL;NL0009767532;XAMS
Accentis;BE320134;BE0003696102;XBRU
Accenture  Plc  -A-;ACN;IE00B4BNMY34;XNYS
Accesso Technology Group PLC;ACSO;GB0001771426;XLON
Acciona SA;ANA;ES0125220311;XMAD
Accor;AC;FR0000120404;XPAR
Accsys Technologies PLC;AXS;GB00BQQFX454;XAMS
Acea;ACE;IT0001207098;MTAA
Acerinox SA;ACX;ES0132105018;XMAD
Acheter-Louer.FR;ALALO;FR0010493510;XPAR
Ackermans & Van Haaren;AVH;BE0003764785;XBRU
ACS SA;ACS;ES0167050915;XMAD
Acteos;EOS;FR0000076861;XPAR
Actia Group;ATI;FR0000076655;XPAR
Ad Pepper Media International NV;DU300427;NL0000238145;XETR
ADA;ALADA;FR0000053076;XPAR
Addlife AB;ALIFB;SE0007982814;XSTO
Adeunis RF SA;ALARF;FR0013284627;XPAR
Adevinta ASA;ADE;NO0010844038;XOSL
Adidas AG;ADS;DE000A1EWWW0;XETR
Adlpartner;ALP;FR0000062978;XPAR
Admiral Group PLC;ADM;GB00B02J6398;XLON
ADO Properties SA;ADJ;LU1250154413;XETR
Adocia SAS;ADOC;FR0011184241;XPAR
Adolfo Dominquez SA;ES340139;ES0106000013;XMAD
Adomos;ALADO;FR0013247244;XPAR
ADP;ADP;FR0010340141;XPAR
AdThink Media N.;ALADM;FR0010457531;XPAR
Adux;ADUX;FR0012821890;XPAR
ADVA Optical Networking SE;DU300073;DE0005103006;XETR
Advenis SA;ADV;FR0004152874;XPAR
Advicenne;ADVIC;FR0013296746;XPAR
Advini SA;FR310518;FR0000053043;XPAR
Adyen NV;ADYEN;NL0012969182;XAMS
Aegon  -ADR-;US110004;US0079241032;XNYS
AEGON NV;IT390438;NL0000303709;MTAA
Aena SME SA;AENA;ES0105046009;XMAD
Aercap Holdings;US112698;NL0000687663;XNYS
Aeroporto Di Bologna SpA;ADB;IT0001006128;MTAA
